Date;Regime-Aware;60/40
1980-05-31;3.251189397108098;1.3667654216272924
1980-06-30;3.5893675207671425;1.4005918859877258
1980-07-31;3.508144373929776;1.4306847080664908
1980-08-31;3.437385279852876;1.4057300290622918
1980-09-30;3.464462128957809;1.4185875293341883
1980-10-31;3.3836618432049934;1.4112089243870263
1980-11-30;3.4177547436143842;1.4921295322152592
1980-12-31;3.4276586994626506;1.4821279038992423
1981-01-31;3.31875695027623;1.4358462486987789
1981-02-28;3.232720501425958;1.419862938965362
1981-03-31;3.3387395939294127;1.4707009839238783
1981-04-30;3.2172072728367613;1.4120145494251102
1981-05-31;3.278677556008875;1.4454462798472303
1981-06-30;3.210912297944923;1.4264984620162124
1981-07-31;3.148514721627077;1.3953464006338157
1981-08-31;3.011254850461965;1.3180559192502381
1981-09-30;2.9019451232173386;1.264411262370833
1981-10-31;3.034534197660724;1.3595535455267658
1981-11-30;3.147951566275771;1.4649618451366158
1981-12-31;3.0334363306995455;1.4063622294686602
1982-01-31;3.0223193716302537;1.3909556309238382
1982-02-28;3.0042875113274796;1.3518970631611305
1982-03-31;2.9400279988904665;1.343520812980512
1982-04-30;3.075694102601425;1.3956107645071647
1982-05-31;3.038825131512967;1.3764596911191909
1982-06-30;2.971410576928214;1.3347204629838196
1982-07-31;3.119529184978121;1.3561197133936582
1982-08-31;3.433375032563818;1.4956580254871492
1982-09-30;3.5939349402438494;1.5626620123761974
1982-10-31;3.882149162572295;1.7252060251671508
1982-11-30;3.913874810829735;1.7643546043164033
1982-12-31;4.0242803308104795;1.8098450832673376
1983-01-31;4.090632151506555;1.828544816896104
1983-02-28;4.056194855971186;1.8875974086218166
1983-03-31;4.059464829218652;1.9106786001604814
1983-04-30;4.286560738828038;2.0250147454738086
1983-05-31;4.225808254473663;1.983347943402447
1983-06-30;4.290379527172646;2.0262084185871916
1983-07-31;4.150184419972829;1.9391673906253095
1983-08-31;4.167067650718658;1.9490917451062135
1983-09-30;4.245657454762472;2.003740166051296
1983-10-31;4.165373445763433;1.972394430378188
1983-11-30;4.259067011610822;2.008838057842662
1983-12-31;4.207322837695474;1.9924307766428158
1984-01-31;4.1891230084334685;1.9994488854033454
1984-02-29;4.134826213164901;1.9345742928087284
1984-03-31;4.128823081747557;1.9326645125473076
1984-04-30;4.1007246019512;1.9270609861201162
1984-05-31;3.948928675552997;1.806956086408252
1984-06-30;3.965317904723771;1.8321890914329357
1984-07-31;3.9315010388906653;1.881621554025772
1984-08-31;4.114056797307034;2.0155390858282347
1984-09-30;4.158584367886087;2.0421197875899106
1984-10-31;4.268128986372403;2.0967645929495555
1984-11-30;4.316803516872309;2.1003641849556223
1984-12-31;4.31176880439959;2.1375732410816912
1985-01-31;4.4387138614267;2.2644181741663387
1985-02-28;4.319886434173549;2.233948776976468
1985-03-31;4.461218619303599;2.2565587188515797
1985-04-30;4.507931218692725;2.2782039614600387
1985-05-31;4.747564862448958;2.4458925266993354
1985-06-30;4.795662233910767;2.4787418521655553
1985-07-31;4.735621007161239;2.454013801784182
1985-08-31;4.802338725212794;2.4642064512205124
1985-09-30;4.7455713201604555;2.4208264099084342
1985-10-31;4.84136557862426;2.516978421362352
1985-11-30;4.9592029327411655;2.6546158518366862
1985-12-31;5.124259038353395;2.784656696141338
1986-01-31;5.199187458896195;2.7913510465703335
1986-02-28;5.412024143124076;3.0040368452315764
1986-03-31;5.701869320784867;3.185530582896073
1986-04-30;5.673148401493225;3.1672048297711584
1986-05-31;5.608482719262107;3.1997819231118854
1986-06-30;5.769667481801698;3.3122506850786912
1986-07-31;5.761691107959009;3.2085943865217263
1986-08-31;5.998380710710269;3.3904724413032765
1986-09-30;5.943809758186458;3.171046295664834
1986-10-31;5.992865488912455;3.293205445020696
1986-11-30;5.995717609772077;3.3633102326498836
1986-12-31;5.964021723779761;3.304892203856195
1987-01-31;6.114357399925892;3.578901679101132
1987-02-28;6.1817079303637685;3.668929721925301
1987-03-31;6.240929835903628;3.692028253803614
1987-04-30;6.376522462735081;3.601916396467664
1987-05-31;6.372032122769454;3.5923914705243174
1987-06-30;6.407637656337906;3.716877773480931
1987-07-31;6.601623818352925;3.8012534283720862
1987-08-31;6.653311608323451;3.8540847850319007
1987-09-30;6.544770079296777;3.7350343537787354
1987-10-31;5.936521971733231;3.3466271746595613
1987-11-30;5.743939812679439;3.1747988961519917
1987-12-31;5.935117776708076;3.3346147183283126
1988-01-31;6.059556936808087;3.491157139198991
1988-02-29;6.100196956852402;3.6003611667337037
1988-03-31;5.981008541356798;3.493501359893663
1988-04-30;5.967822861220698;3.4849169029711455
1988-05-31;5.96958651962286;3.4729532158323995
1988-06-30;6.154728194819803;3.6049000515990883
1988-07-31;6.133877375530207;3.5773278103800927
1988-08-31;6.025151537654122;3.4904113777057897
1988-09-30;6.087332431223351;3.618359223079644
1988-10-31;6.228547326578008;3.71956702696531
1988-11-30;6.142395817273475;3.640074304827147
1988-12-31;6.1538389278694225;3.6735005076687517
1989-01-31;6.182997738046128;3.859997224439397
1989-02-28;6.064731498637535;3.76606784435684
1989-03-31;6.1147666306638575;3.827162388042829
1989-04-30;6.27516762002812;3.981430441625215
1989-05-31;6.392357708892577;4.136079013969683
1989-06-30;6.477811440649337;4.198848678394579
1989-07-31;6.462062038239927;4.469842249439668
1989-08-31;6.445650353455949;4.460219082541159
1989-09-30;6.440712404330309;4.449983831964476
1989-10-31;6.565306546353578;4.449500115069425
1989-11-30;6.721864183940418;4.517245470291304
1989-12-31;6.680383352993138;4.571384685435792
1990-01-31;6.546173959314991;4.325346472443066
1990-02-28;6.513512907488543;4.346266724579261
1990-03-31;6.251633615845102;4.4062046576929665
1990-04-30;6.187760357031945;4.293062242736093
1990-05-31;6.258448507668527;4.601954590151098
1990-06-30;6.264282357680595;4.618339909565509
1990-07-31;6.369937923650147;4.627337110292227
1990-08-31;6.221799090938404;4.304986845729313
1990-09-30;6.341282664850816;4.192511411799018
1990-10-31;6.113863846689272;4.211992906826832
1990-11-30;6.2282092611836175;4.425426084678492
1990-12-31;6.259251697230536;4.529903274586345
1991-01-31;6.154976304641584;4.663644073711006
1991-02-28;6.215914370382663;4.860480124743893
